fire_enabled,exit_preset,num_exits,leader_proportion,num_leaders,total_time_mean,total_time_std,evacuation_rate_mean,evacuation_rate_std,injured_total_mean,injured_total_std,injured_rate_mean,leader_evacuation_rate_mean,overall_flow_rate_mean,overall_flow_rate_std,timeout_rate,exit_balance_mean,n_runs
False,center_right,1,0.0,0,100.0,0.0,0.778,0.11053405709453432,5.2,3.22490309931942,0.10400000000000001,1.0,0.389,0.05526702854726716,1.0,0.0,10
False,center_right,1,0.02,1,96.57000000000001,7.401508855181714,0.8300000000000001,0.10760008261045982,6.1,4.771442828607157,0.12200000000000003,0.7,0.43351464343562574,0.07551988186256851,0.8,0.0,10
False,center_right,1,0.06,3,78.47,29.961421491274034,0.818,0.20230889473497918,5.2,4.049691346263317,0.10400000000000002,0.8333333333333333,0.6912108485745323,0.5177105055498705,0.6,0.0,10
False,center_right,1,0.1,5,81.05,30.68471389253396,0.7220000000000001,0.2660743421593964,6.3,5.638163609624049,0.126,0.62,0.6276638452555255,0.549756411748418,0.7,0.0,10
False,center_right,1,0.2,10,82.17999999999999,27.96437416110402,0.7420000000000001,0.302647576490471,6.5,6.328945848682508,0.13000000000000003,0.6799999999999999,0.5811696203094454,0.44920972877407,0.6,0.0,10
False,two_exits,2,0.0,0,71.35,27.047540450925375,0.906,0.1746234043114878,1.8,3.155242550986462,0.036,1.0,0.7716500398521535,0.4168683390213629,0.4,3.95,10
False,two_exits,2,0.02,1,59.04,29.604586731713646,0.942,0.07450577904505871,2.1,2.2335820757001272,0.041999999999999996,1.0,0.993889650348487,0.449088026961133,0.2,12.65,10
False,two_exits,2,0.06,3,67.16,27.5905056133446,0.942,0.09589345939924973,1.7,2.359378449224852,0.034,0.9666666666666666,0.8728463009196823,0.4855574019168516,0.3,5.85,10
False,two_exits,2,0.1,5,51.93000000000001,26.28020167350319,0.974,0.03272783388968953,1.1,1.286683937707919,0.022,0.9800000000000001,1.1209649910687376,0.4314044749145717,0.2,5.55,10
False,two_exits,2,0.2,10,67.20000000000002,31.315384930307548,0.9719999999999999,0.03425395354310701,0.8,1.0327955589886444,0.016,0.95,0.9020837666281919,0.432406491405012,0.4,4.3,10
False,three_exits,3,0.0,0,62.64999999999999,29.28390722260645,0.9780000000000001,0.0304776785350999,0.8,1.1352924243950935,0.016,1.0,0.9599457887292248,0.44111621962081493,0.3,3.694380683617706,10
False,three_exits,3,0.02,1,50.06,28.155449442929044,0.984,0.03864367132317184,0.5,1.0801234497346435,0.01,1.0,1.2680325895885907,0.5854673957372966,0.1,4.491342321629453,10
False,three_exits,3,0.06,3,50.62,30.280459412337557,0.9800000000000001,0.03771236166328252,0.5,0.8498365855987975,0.01,1.0,1.2701458321158985,0.5777718253921142,0.2,4.309993839630924,10
False,three_exits,3,0.1,5,61.39000000000001,30.480392604645584,0.974,0.03405877273185281,0.9,1.1005049346146119,0.018,0.9800000000000001,1.0161014823418522,0.5229828616603663,0.3,5.2611935101208065,10
False,three_exits,3,0.2,10,50.39,22.68540646906435,0.994,0.018973665961010293,0.2,0.6324555320336759,0.004,1.0,1.1255479120150154,0.35182673841632883,0.1,3.2268907707664716,10
True,center_right,1,0.0,0,93.72,11.389644419383778,0.6239999999999999,0.12139924949429373,17.1,4.748099034818507,0.34199999999999997,1.0,0.3431033560226578,0.1073886189185025,0.7,0.0,10
True,center_right,1,0.02,1,74.60999999999999,19.139165777710026,0.756,0.19681914992646873,10.5,7.648529270389178,0.21000000000000005,0.7,0.565638389403063,0.2776843046034794,0.1,0.0,10
True,center_right,1,0.06,3,92.05,20.246000976873322,0.6719999999999999,0.22611698054080082,14.3,9.649985607358294,0.28600000000000003,0.6,0.4176129235693769,0.29278148100900836,0.7,0.0,10
True,center_right,1,0.1,5,82.36000000000001,26.94761172678903,0.746,0.1746234043114878,9.8,6.713171133426189,0.196,0.6200000000000001,0.5845810547587876,0.45028537752426434,0.4,0.0,10
True,center_right,1,0.2,10,77.03,26.20661706092142,0.7100000000000002,0.23986107090008027,10.0,7.007932013876213,0.2,0.6500000000000001,0.5720625332721083,0.39195431049900065,0.4,0.0,10
True,two_exits,2,0.0,0,59.19000000000001,29.97052070136772,0.9120000000000001,0.061967733539318656,4.3,2.869378562220979,0.08600000000000001,1.0,1.037859050230016,0.6144479859004592,0.1,4.4,10
True,two_exits,2,0.02,1,51.67,24.69773044004021,0.8939999999999999,0.07890923055426825,5.1,3.665151201974256,0.10200000000000001,1.0,1.0480374581418,0.4551474545411119,0.1,12.45,10
True,two_exits,2,0.06,3,64.22999999999999,31.28642055446917,0.9059999999999999,0.06113736809658865,3.9,1.7919573407620817,0.078,0.9333333333333332,0.9483468914165986,0.6008973559465963,0.3,4.25,10
True,two_exits,2,0.1,5,51.410000000000004,21.81540994597881,0.9440000000000002,0.015776212754932285,2.6,0.6992058987801011,0.052000000000000005,0.9,1.0505009678101032,0.37047631533456976,0.1,5.3,10
True,two_exits,2,0.2,10,62.21,30.112952178238668,0.9360000000000002,0.06095535707019977,3.0,2.70801280154532,0.06,0.8899999999999999,0.9604627712577448,0.48324769258946193,0.2,2.5,10
True,three_exits,3,0.0,0,58.28000000000001,32.57448899573611,0.9179999999999999,0.08508818954473059,3.9,4.121757985239902,0.078,1.0,1.1673716637241898,0.8445880871216209,0.2,3.703756692187897,10
True,three_exits,3,0.02,1,43.92,21.14546444670031,0.9579999999999999,0.019888578520235057,2.1,0.9944289260117533,0.041999999999999996,1.0,1.3456946494970137,0.6277776371019832,0.0,4.32780854442453,10
True,three_exits,3,0.06,3,52.529999999999994,31.943597863178226,0.9479999999999998,0.030110906108363224,2.2,1.1352924243950933,0.044,0.9333333333333332,1.1921998297322358,0.5523538780699727,0.2,4.209328430021462,10
True,three_exits,3,0.1,5,53.85,29.594265585676485,0.908,0.13830722645215934,3.4,3.5023801430836525,0.06800000000000002,0.96,1.1166292822241146,0.5770933812694593,0.2,4.899157907064613,10
True,three_exits,3,0.2,10,53.15,19.299179602597967,0.954,0.03272783388968953,2.3,1.636391694484477,0.046,0.95,1.0146914156385183,0.3708890706193808,0.0,3.7313307327467697,10
