fire_enabled,exit_preset,num_exits,leader_proportion,num_leaders,run,seed,total_time,simulation_steps,computation_time,timeout,evacuated,evacuation_rate,remaining_agents,overall_flow_rate,leaders_evacuated,leaders_remaining,leader_evacuation_rate,leader_flow_rate,injured_total,injured_rate,injured_fire,injured_smoke,injured_pressure,exit0_usage,exit1_usage,exit2_usage,exit_balance
True,three_exits,3,0.02,1,4,1265,57.900000000000006,579,4.222314,False,47,0.94,3,0.8117443868739205,1,0,1.0,0.01727115716753022,3,0.06,2,1,0,15,21,11,4.109609335312651
True,three_exits,3,0.02,1,5,1266,36.5,365,4.098202,False,49,0.98,1,1.3424657534246576,1,0,1.0,0.0273972602739726,1,0.02,1,0,0,22,12,15,4.189935029992178
True,three_exits,3,0.02,1,6,1267,55.400000000000006,554,5.345631,False,46,0.92,4,0.8303249097472923,1,0,1.0,0.018050541516245487,4,0.08,3,1,0,15,9,22,5.312459150169743
True,three_exits,3,0.02,1,7,1268,23.5,235,3.007668,False,48,0.96,2,2.0425531914893615,1,0,1.0,0.0425531914893617,2,0.04,2,0,0,16,14,18,1.632993161855452
True,three_exits,3,0.02,1,8,1269,24.400000000000002,244,3.744711,False,49,0.98,1,2.0081967213114753,1,0,1.0,0.040983606557377046,1,0.02,1,0,0,18,19,12,3.0912061651652345
True,three_exits,3,0.02,1,9,1270,20.400000000000002,204,2.699951,False,48,0.96,2,2.352941176470588,1,0,1.0,0.04901960784313725,2,0.04,2,0,0,23,13,12,4.96655480858378
True,three_exits,3,0.06,3,0,1271,25.900000000000002,259,3.181758,False,49,0.98,1,1.8918918918918917,3,0,1.0,0.11583011583011582,1,0.02,1,0,0,20,14,15,2.6246692913372702
True,three_exits,3,0.06,3,1,1272,35.0,350,3.270684,False,47,0.94,3,1.3428571428571427,3,0,1.0,0.08571428571428572,3,0.06,3,0,0,11,22,14,4.642796092394707
True,three_exits,3,0.06,3,2,1273,39.300000000000004,393,3.838442,False,47,0.94,3,1.1959287531806615,3,0,1.0,0.07633587786259541,3,0.06,2,0,1,14,18,15,1.699673171197595
True,three_exits,3,0.06,3,3,1274,100.0,1000,5.027738,True,45,0.9,5,0.45,2,1,0.6666666666666666,0.02,3,0.06,1,0,2,12,18,15,2.449489742783178
True,three_exits,3,0.06,3,4,1275,34.4,344,3.495005,False,48,0.96,2,1.3953488372093024,2,1,0.6666666666666666,0.05813953488372093,2,0.04,1,1,0,11,23,14,5.0990195135927845
True,three_exits,3,0.06,3,5,1276,26.5,265,4.453501,False,46,0.92,4,1.7358490566037736,3,0,1.0,0.11320754716981132,4,0.08,3,1,0,12,10,24,6.182412330330469
True,three_exits,3,0.06,3,6,1277,94.2,942,4.24563,False,48,0.96,2,0.5095541401273885,3,0,1.0,0.03184713375796178,2,0.04,0,1,1,12,15,21,3.7416573867739413
True,three_exits,3,0.06,3,7,1278,27.0,270,3.893438,False,48,0.96,2,1.7777777777777777,3,0,1.0,0.1111111111111111,2,0.04,2,0,0,10,14,24,5.887840577551898
True,three_exits,3,0.06,3,8,1279,43.0,430,3.839994,False,50,1.0,0,1.1627906976744187,3,0,1.0,0.06976744186046512,0,0.0,0,0,0,10,13,27,7.408703590297623
True,three_exits,3,0.06,3,9,1280,100.0,1000,6.347718,True,46,0.92,4,0.46,3,0,1.0,0.03,2,0.04,1,0,1,17,17,12,2.357022603955158
True,three_exits,3,0.1,5,0,1281,35.9,359,4.616678,False,49,0.98,1,1.3649025069637883,5,0,1.0,0.1392757660167131,1,0.02,1,0,0,15,19,15,1.8856180831641267
True,three_exits,3,0.1,5,1,1282,23.900000000000002,239,3.784914,False,48,0.96,2,2.00836820083682,5,0,1.0,0.20920502092050208,2,0.04,2,0,0,21,12,15,3.7416573867739413
True,three_exits,3,0.1,5,2,1283,36.6,366,3.516219,False,47,0.94,3,1.2841530054644807,5,0,1.0,0.13661202185792348,3,0.06,3,0,0,19,18,10,4.027681991198191
True,three_exits,3,0.1,5,3,1284,77.60000000000001,776,4.864113,False,47,0.94,3,0.6056701030927835,5,0,1.0,0.06443298969072164,3,0.06,3,0,0,13,20,14,3.0912061651652345
True,three_exits,3,0.1,5,4,1285,100.0,1000,5.278359,True,45,0.9,5,0.45,4,1,0.8,0.04,4,0.08,2,0,2,13,21,11,4.320493798938574
True,three_exits,3,0.1,5,5,1286,100.0,1000,19.574225,True,26,0.52,24,0.26,5,0,1.0,0.05,13,0.26,2,4,7,10,7,9,1.247219128924647
True,three_exits,3,0.1,5,6,1287,66.60000000000001,666,5.338846,False,47,0.94,3,0.7057057057057056,4,1,0.8,0.06006006006006005,3,0.06,2,1,0,5,12,30,10.530379332620877
True,three_exits,3,0.1,5,7,1288,36.5,365,3.680282,False,48,0.96,2,1.3150684931506849,5,0,1.0,0.136986301369863,2,0.04,2,0,0,11,14,23,5.0990195135927845
True,three_exits,3,0.1,5,8,1289,32.5,325,3.734781,False,48,0.96,2,1.476923076923077,5,0,1.0,0.15384615384615385,2,0.04,2,0,0,12,26,10,7.118052168020874
True,three_exits,3,0.1,5,9,1290,28.900000000000002,289,3.83589,False,49,0.98,1,1.695501730103806,5,0,1.0,0.17301038062283736,1,0.02,1,0,0,27,14,8,7.93025150224688
True,three_exits,3,0.2,10,0,1291,39.1,391,4.394558,False,50,1.0,0,1.278772378516624,10,0,1.0,0.2557544757033248,0,0.0,0,0,0,12,24,14,5.2493385826745405
True,three_exits,3,0.2,10,1,1292,43.900000000000006,439,4.928067,False,48,0.96,2,1.093394077448747,10,0,1.0,0.2277904328018223,2,0.04,2,0,0,15,19,14,2.160246899469287
True,three_exits,3,0.2,10,2,1293,36.2,362,4.086205,False,49,0.98,1,1.3535911602209945,10,0,1.0,0.2762430939226519,1,0.02,1,0,0,19,19,11,3.7712361663282534
True,three_exits,3,0.2,10,3,1294,78.2,782,4.821076,False,48,0.96,2,0.6138107416879796,10,0,1.0,0.1278772378516624,2,0.04,2,0,0,19,11,18,3.559026084010437
True,three_exits,3,0.2,10,4,1295,71.60000000000001,716,6.054362,False,45,0.9,5,0.6284916201117318,7,3,0.7,0.09776536312849161,5,0.1,2,3,0,13,18,14,2.160246899469287
True,three_exits,3,0.2,10,5,1296,74.7,747,3.945803,False,48,0.96,2,0.642570281124498,10,0,1.0,0.13386880856760375,2,0.04,2,0,0,14,22,12,4.320493798938574
True,three_exits,3,0.2,10,6,1297,44.2,442,3.648132,False,45,0.9,5,1.0180995475113122,8,2,0.8,0.18099547511312217,5,0.1,3,2,0,8,18,19,4.96655480858378
True,three_exits,3,0.2,10,7,1298,75.60000000000001,756,4.50945,False,47,0.94,3,0.6216931216931216,10,0,1.0,0.13227513227513227,3,0.06,1,0,2,16,18,13,2.0548046676563256
True,three_exits,3,0.2,10,8,1299,38.0,380,3.601166,False,48,0.96,2,1.263157894736842,10,0,1.0,0.2631578947368421,2,0.04,2,0,0,11,16,21,4.08248290463863
True,three_exits,3,0.2,10,9,1300,30.0,300,3.460184,False,49,0.98,1,1.6333333333333333,10,0,1.0,0.3333333333333333,1,0.02,1,0,0,23,11,15,4.988876515698588
