v0,total_time_mean,total_time_std,flow_rate_mean,flow_rate_std,evacuation_rate_mean,injured_mean,timeout_rate,n_runs
0.5,100.0,0.0,0.36000000000000004,0.036055512754639904,0.7200000000000001,0.6666666666666666,1.0,3
1.0,47.63333333333333,7.75134396948899,1.061848380517623,0.1789136748809136,0.9933333333333333,0.3333333333333333,0.0,3
1.5,75.06666666666666,43.18580013538401,0.705026455026455,1.0074309234839223,0.48,3.3333333333333335,0.6666666666666666,3
2.0,100.0,0.0,0.17333333333333334,0.16921386861996074,0.3466666666666667,12.333333333333334,1.0,3
2.5,100.0,0.0,0.09333333333333334,0.0808290376865476,0.18666666666666668,20.666666666666668,1.0,3
3.0,100.0,0.0,0.08,0.06557438524302002,0.16,30.0,1.0,3
3.5,100.0,0.0,0.09666666666666666,0.05033222956847166,0.19333333333333333,35.333333333333336,1.0,3
4.0,100.0,0.0,0.03666666666666667,0.015275252316519468,0.07333333333333333,41.333333333333336,1.0,3
4.5,100.0,0.0,0.03666666666666667,0.03785938897200183,0.07333333333333333,44.333333333333336,1.0,3
5.0,67.8,55.772036003717844,0.8009803921568626,1.3440467651967156,0.08666666666666667,44.666666666666664,0.6666666666666666,3
5.5,67.63333333333334,56.060711138312655,0.36816091954022984,0.5781120954682357,0.06666666666666667,46.0,0.6666666666666666,3
6.0,35.1,56.20507094560063,0.6567806267806268,0.5197602824489718,0.09333333333333334,45.0,0.3333333333333333,3
6.5,35.06666666666667,56.23400513331176,0.6338271604938271,0.7582798862667932,0.04666666666666666,47.333333333333336,0.3333333333333333,3
7.0,34.833333333333336,56.436010962268874,1.502213438735178,1.249970305698011,0.10666666666666667,44.333333333333336,0.3333333333333333,3
7.5,2.266666666666667,0.05773502691896263,1.1725955204216074,0.8990103878383126,0.05333333333333334,47.333333333333336,0.0,3
8.0,2.1333333333333333,0.05773502691896263,0.30303030303030304,0.524863881081478,0.013333333333333334,49.333333333333336,0.0,3
8.5,2.0666666666666664,0.05773502691896263,1.134920634920635,0.5715938914295505,0.04666666666666667,47.666666666666664,0.0,3
9.0,2.0333333333333337,0.1527525231651947,1.6714513556618817,0.6623180285741986,0.06666666666666667,46.666666666666664,0.0,3
9.5,1.866666666666667,0.05773502691896263,2.83625730994152,1.6604995163158693,0.10666666666666667,44.666666666666664,0.0,3
10.0,34.56666666666667,56.666950979678916,1.452748538011696,1.2990670863979858,0.09333333333333334,45.0,0.3333333333333333,3
